1408	940	1684	2508
3744	3544	4271	4921
1407	1113	1680	2542
22	62	213	1155
2466	127	2924	2272
2903	195	3635	2438
516	114	1169	2313
3647	193	4292	2645
1764	71	2397	1801
956	115	997	273
451	115	525	386
3177	1129	3338	2461
3181	1088	3342	2388
3004	210	3141	1470
316	703	622	1997
1778	116	2245	2634
3993	72	4230	1829
3007	372	3138	1443
3555	122	3875	2392
2265	112	2728	2790
0	1043	124	1773
1276	189	1820	2479
473	2918	1269	3737
1631	989	1844	2321
2978	390	3208	1481
3338	117	3441	793
1887	393	2279	2055
4128	1106	4244	1929
1464	792	1571	1593
3583	94	3816	1440
3560	794	3750	1518
2673	93	3065	1353
3292	2984	3742	3656
3466	1509	3500	1706
232	1868	271	2114
2550	370	2685	1193
2302	334	2526	850
532	343	604	575
1645	326	1763	617
748	341	858	684
745	339	857	695
1048	349	1198	1199
2121	339	2218	835
0	334	57	657
359	341	414	504
1304	321	1393	736
446	608	636	1599
1005	332	1125	684
431	337	669	1620
2065	344	2133	618
1874	340	1929	537
3757	365	3891	1623
594	356	857	1834
1408	940	1684	2508
3744	3544	4271	4921
1407	1113	1680	2542
22	62	213	1155
2466	127	2924	2272
2903	195	3635	2438
516	114	1169	2313
3647	193	4292	2645
1764	71	2397	1801
956	115	997	273
451	115	525	386
3177	1129	3338	2461
3181	1088	3342	2388
3004	210	3141	1470
316	703	622	1997
1778	116	2245	2634
3993	72	4230	1829
3007	372	3138	1443
3555	122	3875	2392
2265	112	2728	2790
0	1043	124	1773
1276	189	1820	2479
473	2918	1269	3737
1631	989	1844	2321
2978	390	3208	1481
3338	117	3441	793
1887	393	2279	2055
4128	1106	4244	1929
1464	792	1571	1593
3583	94	3816	1440
3560	794	3750	1518
2673	93	3065	1353
3292	2984	3742	3656
3466	1509	3500	1706
232	1868	271	2114
2550	370	2685	1193
2302	334	2526	850
532	343	604	575
1645	326	1763	617
748	341	858	684
745	339	857	695
1048	349	1198	1199
2121	339	2218	835
0	334	57	657
359	341	414	504
1304	321	1393	736
446	608	636	1599
1005	332	1125	684
431	337	669	1620
2065	344	2133	618
1874	340	1929	537
3757	365	3891	1623
594	356	857	1834
